title,link,description,category,published_at
Tập đoàn SK muốn tham gia loạt dự án năng lượng tại Việt Nam,https://vnexpress.net/tap-doan-sk-muon-tham-gia-loat-du-an-nang-luong-tai-viet-nam-4849699.html,"SK Group - chaebol lớn thứ hai Hàn Quốc - muốn tham gia các dự án lò phát ứng hạt nhân module cỡ nhỏ, hạ tầng điện khí LNG tại Việt Nam.",,
Vinhomes dự kiến làm khu đô thị hơn 3 tỷ USD tại Long An từ 2026,https://vnexpress.net/vinhomes-du-kien-lam-khu-do-thi-hon-3-ty-usd-tai-long-an-tu-2026-4849696.html,"Vinhomes có thể xây dựng hạ tầng khu đô thị mới Phước Vĩnh Tây, tổng vốn hơn 80.000 tỷ đồng từ năm 2026 và hoàn thành cuối 2030.",,
Xe trên 16 chỗ 'khuấy đảo' phố cổ Hà Nội,https://vnexpress.net/xe-tren-16-cho-khuay-dao-pho-co-ha-noi-4848784.html,"Hoạt động rầm rộ vào các khung giờ cao điểm, xe du lịch trên 16 chỗ chiếm gần hết lòng đường phố cổ Hà Nội, gây ùn tắc giao thông, ô nhiễm môi trường.",,
Công chức bị tinh giản tìm việc,https://vnexpress.net/cong-chuc-bi-tinh-gian-tim-viec-4849234.html,"Đơn vị giải thể, anh Thái ở TP HCM, có 16 năm gắn bó nhà nước, thấy vui vì số tiền hỗ trợ gần một tỷ đồng nhưng lo chưa biết tìm việc mới ra sao khi đã 40 tuổi.",,
15 lãnh đạo cấp phòng của Công an Đà Nẵng nghỉ hưu trước tuổi,https://vnexpress.net/15-lanh-dao-cap-phong-cua-cong-an-da-nang-nghi-huu-truoc-tuoi-4849567.html,"6 trưởng phòng, 9 phó phòng trong độ tuổi 57-60 đã viết đơn xin nghỉ hưu trước tuổi từ ngày 1/3 để sắp xếp tinh gọn bộ máy.",,
Tòa yêu cầu chính quyền Trump khôi phục viện trợ nước ngoài,https://vnexpress.net/toa-yeu-cau-chinh-quyen-trump-khoi-phuc-vien-tro-nuoc-ngoai-4849579.html,"Thẩm phán liên bang yêu cầu chính quyền Trump khôi phục nguồn tiền cho hàng trăm nhóm viện trợ nước ngoài nhằm tránh ""tổn hại không thể khắc phục"".",,
Thủ tướng: Bỏ công an cấp huyện để tăng cường lực lượng cho cơ sở,https://vnexpress.net/thu-tuong-bo-cong-an-cap-huyen-de-tang-cuong-luc-luong-cho-co-so-4849640.html,"Thủ tướng Phạm Minh Chính cho biết chủ trương bỏ công an cấp huyện nhằm tăng cường cán bộ ở cấp xã - cấp gần dân, hiểu dân nhất.",,
Không miễn phí trạm BOT Bến Thủy I với người dân vùng mới sáp nhập vào TP Vinh,https://vnexpress.net/khong-mien-phi-tram-bot-ben-thuy-i-voi-nguoi-dan-vung-moi-sap-nhap-vao-tp-vinh-4849668.html,Nhà chức trách không miễn phí qua trạm BOT Bến Thủy I với người dân 11 xã phường mới sáp nhập vào TP Vinh vì lo mất cân đối tài chính.,,
Chuyện tình của chàng trai ghép mặt và nữ y tá xinh đẹp,https://vnexpress.net/chuyen-tinh-cua-chang-trai-ghep-mat-va-nu-y-ta-xinh-dep-4849208.html,"Tháng 7/2018, khi bước sang tuổi 18, Joe Dimeo bị tai nạn giao thông, bỏng cấp độ 3, phải trải qua 20 ca phẫu thuật tái tạo ghép da và chỉnh hình.",,
Tài xế hành hung nam shipper ở Hà Nội bị khởi tố,https://vnexpress.net/tai-xe-hanh-hung-nam-shipper-o-ha-noi-bi-khoi-to-4849481.html,"Tống Anh Tuấn, 43 tuổi, bị cáo buộc đang điều khiển ôtô Lexus thì xảy ra va quẹt nên đấm, đá liên tiếp vào mặt, vùng đầu nam shipper, gây thương tích 3%.",,
Doanh nghiệp yêu cầu công nhân đóng bảo hiểm bằng cà phê,https://vnexpress.net/doanh-nghiep-yeu-cau-cong-nhan-dong-bao-hiem-bang-ca-phe-4849587.html,"Công ty cà phê Ia Sao 1 và 706 (thuộc Tổng công ty Cà phê Việt Nam) yêu cầu mỗi công nhân đóng bảo hiểm xã hội bằng 1,7 tấn cà phê thay vì 15-18 triệu như trước.",,
"Đề xuất 'chỉ phân quyền cho địa phương đủ năng lực tài chính, quản trị'",https://vnexpress.net/de-xuat-chi-phan-quyen-cho-dia-phuong-du-nang-luc-tai-chinh-quan-tri-4849431.html,"Đại biểu Trần Văn Khải đề xuất bổ sung nguyên tắc phân quyền có điều kiện cho các địa phương - chỉ phân quyền cho tỉnh thành có đủ năng lực tài chính, nhân lực quản trị.",,
Hộp quà kèm Baby Three trở thành 'cơn sốt' mùa Valentine,https://vnexpress.net/hop-qua-kem-baby-three-tro-thanh-con-sot-mua-valentine-4849463.html,Nhiều cửa hàng tung hộp quà Valentine độc đáo kèm nhân vật này với giá tới hàng triệu đồng vẫn đắt khách.,,
Elon Musk đưa bạn gái và ba con tới gặp Thủ tướng Ấn Độ,https://vnexpress.net/elon-musk-dua-ban-gai-va-ba-con-toi-gap-thu-tuong-an-do-4849568.html,Elon Musk đưa bạn gái và ba con tới Nhà khách Blair ở Washington gặp Thủ tướng Modi bàn về công nghệ vũ trụ và sách lược của Ấn Độ.,,
Khoảnh khắc nhóm lừa đảo hàng trăm tỷ đồng bị bắt giữ ở sân bay,https://video.vnexpress.net/khoanh-khac-nhom-lua-dao-hang-tram-ty-dong-bi-bat-giu-o-san-bay-4849302.html,"Hàng chục người trong đường dây lừa đảo đầu tư tiền điện tử ở Campuchia và Philippines về Việt Nam, bị công an bắt giữ ngay tại sân bay Tân Sơn Nhất và Nội Bài.",,
